ID,RiskScore
0,32.88401965392899
1,57.65829654731682
2,30.545421214453825
3,31.54471999253468
4,35.61767770652733
5,72.9975522709367
6,30.932700746146594
7,27.48669112347372
8,31.915300256906676
9,62.07471580265182
10,51.90258478866936
11,29.112037295666823
12,48.09446935169268
13,37.46826945487139
14,53.09420244428941
15,62.9023769279694
16,26.481566512330105
17,26.950166759921373
18,67.7141501513371
19,57.80760382701858
20,76.49187568063928
21,31.656899193400847
22,65.43545298806896
23,35.50500746403611
24,55.31358336766925
25,30.221898442903694
26,33.666071835873936
27,29.181397831235685
28,56.024929997315496
29,74.97753218551821
30,32.078445944371836
31,64.44553914356882
32,32.63136752129101
33,30.16212401589391
34,36.65633706708818
35,34.32874670937318
36,67.89932122346927
37,56.84998112606415
38,46.624784497887205
39,68.74896662471369
40,64.67204786610219
41,58.35429123654899
42,76.33877851682742
43,28.154676224736704
44,46.72273957145707
45,29.31963738050645
46,35.018823387395784
47,71.36003850321458
48,30.608187041140496
49,34.8457375307423
50,61.941707017646905
51,58.90566006065664
52,53.03888534178882
53,34.03893897822449
54,31.707302551373232
55,33.61476730521103
56,74.45111421199465
57,38.63984472295408
58,42.7105941626578
59,57.63591598562988
60,73.96534750985987
61,51.05480531762199
62,28.13774040644492
63,80.4913266321329
64,29.608297118497845
65,32.04528543326177
66,57.91146152616076
67,63.44898776906902
68,37.60214694417381
69,64.77869576174007
70,39.26920320719671
71,41.2590587131012
72,49.23595077931989
73,64.47482183680854
74,57.05151007922706
75,61.879053888620945
76,66.8713540262622
77,26.646049561601075
78,50.150623987806654
79,62.06191348202282
80,68.3545497822017
81,59.22820257478023
82,57.6379311542182
83,36.18069407920619
84,69.3660354500802
85,71.39265860334596
86,59.64827583806664
87,26.456143164981825
88,55.70559559907364
89,75.77433631413666
90,30.81557194654269
91,59.79425508821913
92,34.734307383822824
93,30.14531814716196
94,38.652527454854486
95,36.708374795235514
96,35.020704231113655
97,64.5057063970852
98,33.281527499057646
99,61.654933528175604
100,33.782244435637196
101,32.96889331871765
102,70.6955324731504
103,71.57514652868042
104,30.10067008326483
105,83.90203214939712
106,69.69287745531824
107,69.9862779537754
108,35.85854974781263
109,75.29880258150821
110,49.85675206472672
